instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,if_average
5106,3,0,8,15,0,5,1,0,0.76,0.697,0.55,0.2537,50,160,210,1
5107,3,0,8,16,0,5,1,0,0.8,0.7424,0.49,0.2537,76,254,330,1
5108,3,0,8,17,0,5,1,0,0.78,0.7121,0.49,0.2985,84,466,550,1
5109,3,0,8,18,0,5,1,0,0.76,0.697,0.52,0.2537,105,361,466,1
5110,3,0,8,19,0,5,1,0,0.74,0.6818,0.55,0.2537,90,282,372,1
5111,3,0,8,20,0,5,1,0,0.72,0.6667,0.58,0.2239,70,221,291,1
5112,3,0,8,21,0,5,1,0,0.7,0.6515,0.65,0.194,54,119,173,0
5113,3,0,8,22,0,5,1,0,0.7,0.6515,0.65,0.2239,51,137,188,0
5114,3,0,8,23,0,5,1,0,0.68,0.6364,0.69,0.2239,37,102,139,0
5115,3,0,8,0,0,6,0,0,0.66,0.6061,0.78,0.194,29,104,133,0
5116,3,0,8,1,0,6,0,0,0.66,0.6061,0.78,0.1642,17,50,67,0
5117,3,0,8,2,0,6,0,0,0.66,0.6061,0.78,0.2239,14,39,53,0
5118,3,0,8,3,0,6,0,1,0.66,0.6061,0.78,0.1642,14,28,42,0
5119,3,0,8,4,0,6,0,1,0.66,0.6061,0.83,0.1642,5,5,10,0
5120,3,0,8,5,0,6,0,0,0.64,0.5758,0.89,0.0896,2,4,6,0
5121,3,0,8,6,0,6,0,0,0.64,0.5758,0.89,0.1045,5,22,27,0
5122,3,0,8,7,0,6,0,0,0.68,0.6364,0.83,0.1642,14,49,63,0
5123,3,0,8,8,0,6,0,0,0.68,0.6364,0.83,0.1642,27,94,121,0
5124,3,0,8,9,0,6,0,0,0.74,0.697,0.7,0.2239,60,155,215,1
5125,3,0,8,10,0,6,0,1,0.74,0.697,0.7,0.2836,91,199,290,1
5126,3,0,8,11,0,6,0,0,0.78,0.7424,0.62,0.2239,138,211,349,1
5127,3,0,8,12,0,6,0,0,0.8,0.7576,0.55,0.2239,130,252,382,1
5128,3,0,8,13,0,6,0,1,0.8,0.7727,0.59,0.3284,176,265,441,1
5129,3,0,8,14,0,6,0,0,0.82,0.7727,0.52,0.2537,176,204,380,1
5130,3,0,8,15,0,6,0,1,0.84,0.803,0.53,0.2537,130,232,362,1
5131,3,0,8,16,0,6,0,1,0.74,0.7121,0.79,0.1642,155,188,343,1
5132,3,0,8,17,0,6,0,1,0.74,0.7121,0.79,0.1642,61,88,149,0
5133,3,0,8,18,0,6,0,1,0.72,0.697,0.79,0.4478,81,130,211,1
5134,3,0,8,19,0,6,0,1,0.72,0.7121,0.84,0.2537,57,114,171,0
5135,3,0,8,20,0,6,0,1,0.72,0.697,0.79,0.2836,58,79,137,0
5136,3,0,8,21,0,6,0,1,0.7,0.6667,0.84,0.3284,28,86,114,0
5137,3,0,8,22,0,6,0,1,0.7,0.6667,0.84,0.3284,24,96,120,0
5138,3,0,8,23,0,6,0,1,0.7,0.6667,0.84,0.2836,29,79,108,0
5139,3,0,8,0,0,0,0,1,0.7,0.6667,0.84,0.2836,14,66,80,0
5140,3,0,8,1,0,0,0,1,0.7,0.6667,0.84,0.2537,10,63,73,0
5141,3,0,8,2,0,0,0,1,0.7,0.6667,0.84,0.2239,18,48,66,0
5142,3,0,8,3,0,0,0,1,0.7,0.6667,0.84,0.1343,9,23,32,0
5143,3,0,8,4,0,0,0,0,0.7,0.6667,0.84,0.1343,1,5,6,0
5144,3,0,8,5,0,0,0,0,0.7,0.6667,0.89,0.194,1,4,5,0
5145,3,0,8,6,0,0,0,0,0.7,0.6667,0.89,0.1642,3,10,13,0
5146,3,0,8,7,0,0,0,0,0.7,0.6667,0.84,0.194,11,28,39,0
5147,3,0,8,8,0,0,0,0,0.72,0.697,0.79,0.194,23,66,89,0
5148,3,0,8,9,0,0,0,0,0.76,0.7424,0.75,0.1045,82,102,184,0
5149,3,0,8,10,0,0,0,0,0.8,0.803,0.66,0.1343,88,178,266,1
5150,3,0,8,11,0,0,0,0,0.82,0.8333,0.63,0,113,156,269,1
5151,3,0,8,12,0,0,0,0,0.9,0.8485,0.42,0.2985,161,209,370,1
5152,3,0,8,13,0,0,0,0,0.9,0.8485,0.42,0.2985,118,206,324,1
5153,3,0,8,14,0,0,0,0,0.86,0.803,0.47,0.194,130,192,322,1
5154,3,0,8,15,0,0,0,1,0.72,0.697,0.74,0.2985,118,208,326,1
5155,3,0,8,16,0,0,0,1,0.72,0.697,0.74,0.2985,74,119,193,1
5156,3,0,8,17,0,0,0,1,0.74,0.7121,0.74,0.6418,63,131,194,1
5157,3,0,8,18,0,0,0,0,0.72,0.697,0.74,0.0896,74,155,229,1
5158,3,0,8,19,0,0,0,0,0.72,0.697,0.79,0.1642,68,160,228,1
5159,3,0,8,20,0,0,0,0,0.72,0.7121,0.84,0.1343,50,133,183,0
5160,3,0,8,21,0,0,0,0,0.72,0.7121,0.84,0.1045,36,100,136,0
5161,3,0,8,22,0,0,0,0,0.7,0.6667,0.89,0.194,21,82,103,0
5162,3,0,8,23,0,0,0,0,0.7,0.6667,0.79,0.1045,12,43,55,0
5163,3,0,8,0,0,1,1,0,0.7,0.6667,0.79,0.1045,13,17,30,0
5164,3,0,8,1,0,1,1,0,0.68,0.6364,0.83,0.1343,4,8,12,0
5165,3,0,8,2,0,1,1,0,0.66,0.5909,0.89,0,4,3,7,0
5166,3,0,8,3,0,1,1,0,0.66,0.5909,0.89,0,1,0,1,0
5167,3,0,8,4,0,1,1,0,0.66,0.5909,0.89,0.1045,2,8,10,0
5168,3,0,8,5,0,1,1,0,0.7,0.6667,0.79,0.0896,1,14,15,0
5169,3,0,8,6,0,1,1,0,0.7,0.6515,0.65,0.2836,8,87,95,0
5170,3,0,8,7,0,1,1,0,0.72,0.6818,0.62,0.2985,18,249,267,1
5171,3,0,8,8,0,1,1,0,0.74,0.6818,0.58,0.3284,29,320,349,1
5172,3,0,8,9,0,1,1,0,0.76,0.697,0.55,0.3881,37,146,183,0
5173,3,0,8,10,0,1,1,0,0.8,0.7424,0.52,0.3881,62,62,124,0
5174,3,0,8,11,0,1,1,0,0.82,0.7424,0.48,0.3582,90,89,179,0
5175,3,0,8,12,0,1,1,0,0.82,0.7576,0.46,0.2537,48,134,182,0
5176,3,0,8,13,0,1,1,0,0.84,0.7576,0.44,0.2985,43,108,151,0
5177,3,0,8,14,0,1,1,0,0.82,0.7424,0.43,0.2985,41,109,150,0
5178,3,0,8,15,0,1,1,0,0.84,0.7576,0.41,0.2985,40,86,126,0
5179,3,0,8,16,0,1,1,0,0.86,0.7727,0.39,0.2836,64,218,282,1
5180,3,0,8,17,0,1,1,0,0.86,0.7727,0.39,0.1642,67,460,527,1
5181,3,0,8,18,0,1,1,0,0.84,0.7576,0.41,0.1343,64,465,529,1
5182,3,0,8,19,0,1,1,0,0.82,0.7424,0.43,0.1045,64,352,416,1
5183,3,0,8,20,0,1,1,0,0.8,0.7576,0.55,0,71,215,286,1
5184,3,0,8,21,0,1,1,0,0.76,0.7121,0.58,0.0896,30,156,186,0
5185,3,0,8,22,0,1,1,0,0.76,0.7121,0.58,0.1045,26,121,147,0
5186,3,0,8,23,0,1,1,0,0.74,0.697,0.66,0.1045,19,53,72,0
5187,3,0,8,0,0,2,1,0,0.72,0.697,0.79,0.1343,10,25,35,0
5188,3,0,8,1,0,2,1,0,0.72,0.6818,0.66,0,5,9,14,0
5189,3,0,8,2,0,2,1,0,0.72,0.6818,0.7,0,9,3,12,0
5190,3,0,8,3,0,2,1,0,0.72,0.6818,0.62,0,0,3,3,0
5191,3,0,8,4,0,2,1,0,0.7,0.6667,0.74,0,1,6,7,0
5192,3,0,8,5,0,2,1,0,0.7,0.6515,0.65,0.0896,5,25,30,0
5193,3,0,8,6,0,2,1,0,0.72,0.6667,0.64,0,6,95,101,0
5194,3,0,8,7,0,2,1,0,0.72,0.697,0.74,0.1045,30,313,343,1
5195,3,0,8,8,0,2,1,0,0.74,0.697,0.66,0,40,352,392,1
5196,3,0,8,9,0,2,1,1,0.78,0.7424,0.62,0.1343,34,141,175,0
5197,3,0,8,10,0,2,1,1,0.8,0.7727,0.59,0.2239,55,89,144,0
5198,3,0,8,11,0,2,1,0,0.8,0.7727,0.59,0.2239,61,88,149,0
5199,3,0,8,12,0,2,1,0,0.82,0.7879,0.56,0.194,60,125,185,0
5200,3,0,8,13,0,2,1,0,0.84,0.7879,0.49,0.1642,48,127,175,0
5201,3,0,8,14,0,2,1,0,0.86,0.7879,0.44,0.2836,53,95,148,0
5202,3,0,8,15,0,2,1,0,0.86,0.7727,0.39,0.2836,58,106,164,0
5203,3,0,8,16,0,2,1,0,0.86,0.7727,0.39,0.2985,57,228,285,1
5204,3,0,8,17,0,2,1,0,0.8,0.7576,0.55,0.1642,79,453,532,1
5205,3,0,8,18,0,2,1,0,0.8,0.7576,0.55,0.194,97,488,585,1
5206,3,0,8,19,0,2,1,0,0.8,0.7424,0.49,0.1045,69,302,371,1
5207,3,0,8,20,0,2,1,0,0.8,0.7273,0.43,0.194,34,258,292,1
5208,3,0,8,21,0,2,1,0,0.78,0.697,0.46,0.2537,46,184,230,1
5209,3,0,8,22,0,2,1,0,0.78,0.697,0.46,0.2985,28,127,155,0
5210,3,0,8,23,0,2,1,0,0.76,0.6818,0.48,0.2836,22,53,75,0
5211,3,0,8,0,0,3,1,0,0.74,0.6667,0.51,0.2239,19,18,37,0
5212,3,0,8,1,0,3,1,0,0.72,0.6667,0.54,0.194,7,10,17,0
5213,3,0,8,2,0,3,1,0,0.72,0.6667,0.54,0.1642,1,10,11,0
5214,3,0,8,3,0,3,1,0,0.7,0.6515,0.58,0.1642,1,3,4,0
5215,3,0,8,4,0,3,1,0,0.7,0.6515,0.54,0.1343,1,4,5,0
5216,3,0,8,5,0,3,1,0,0.68,0.6364,0.61,0.0896,2,30,32,0
5217,3,0,8,6,0,3,1,0,0.68,0.6364,0.61,0,9,110,119,0
5218,3,0,8,7,0,3,1,0,0.7,0.6515,0.58,0.0896,16,289,305,1
5219,3,0,8,8,0,3,1,0,0.74,0.6667,0.51,0.194,38,361,399,1
5220,3,0,8,9,0,3,1,0,0.76,0.6818,0.48,0.2239,32,148,180,0
5221,3,0,8,10,0,3,1,0,0.8,0.7273,0.43,0.2239,41,72,113,0
5222,3,0,8,11,0,3,1,0,0.8,0.7121,0.41,0.3881,54,95,149,0
5223,3,0,8,12,0,3,1,0,0.82,0.7273,0.38,0.2985,74,166,240,1
5224,3,0,8,13,0,3,1,0,0.82,0.7273,0.38,0.2836,41,150,191,1
5225,3,0,8,14,0,3,1,0,0.84,0.7273,0.34,0.3284,62,116,178,0
5226,3,0,8,15,0,3,1,0,0.86,0.7424,0.3,0.3284,53,141,194,1
5227,3,0,8,16,0,3,1,0,0.86,0.7424,0.26,0.2985,76,206,282,1
5228,3,0,8,17,0,3,1,0,0.84,0.7121,0.26,0.2985,71,513,584,1
5229,3,0,8,18,0,3,1,0,0.82,0.7121,0.28,0.2985,70,489,559,1
5230,3,0,8,19,0,3,1,0,0.8,0.697,0.26,0.2537,79,334,413,1
5231,3,0,8,20,0,3,1,0,0.76,0.6667,0.31,0.1343,59,253,312,1
5232,3,0,8,21,0,3,1,0,0.76,0.6667,0.33,0.1045,47,162,209,1
5233,3,0,8,22,0,3,1,0,0.74,0.6515,0.37,0,17,122,139,0
5234,3,0,8,23,0,3,1,0,0.74,0.6515,0.37,0.0896,14,94,108,0
5235,3,0,8,0,0,4,1,0,0.7,0.6364,0.45,0.1045,6,40,46,0
5236,3,0,8,1,0,4,1,0,0.7,0.6364,0.45,0.1343,9,17,26,0
5237,3,0,8,2,0,4,1,0,0.66,0.6212,0.54,0.1343,3,8,11,0
5238,3,0,8,3,0,4,1,0,0.64,0.6212,0.57,0.1343,2,7,9,0
5239,3,0,8,4,0,4,1,0,0.64,0.6212,0.57,0.1642,1,4,5,0
5240,3,0,8,5,0,4,1,0,0.64,0.6212,0.61,0.194,2,23,25,0
5241,3,0,8,6,0,4,1,0,0.62,0.6061,0.65,0.1642,5,101,106,0
5242,3,0,8,7,0,4,1,0,0.66,0.6212,0.54,0.1343,15,292,307,1
5243,3,0,8,8,0,4,1,0,0.7,0.6364,0.45,0.1642,29,361,390,1
5244,3,0,8,9,0,4,1,0,0.72,0.6515,0.39,0.2239,31,166,197,1
5245,3,0,8,10,0,4,1,0,0.74,0.6515,0.37,0.2537,36,96,132,0
5246,3,0,8,11,0,4,1,0,0.76,0.6667,0.35,0.2537,59,128,187,0
5247,3,0,8,12,0,4,1,0,0.78,0.6818,0.31,0.2537,50,164,214,1
5248,3,0,8,13,0,4,1,0,0.76,0.6667,0.31,0.2239,51,166,217,1
5249,3,0,8,14,0,4,1,0,0.8,0.697,0.29,0,39,103,142,0
5250,3,0,8,15,0,4,1,0,0.8,0.697,0.29,0.2985,52,126,178,0
5251,3,0,8,16,0,4,1,0,0.8,0.697,0.27,0.194,57,241,298,1
5252,3,0,8,17,0,4,1,0,0.8,0.697,0.29,0.2537,96,486,582,1
5253,3,0,8,18,0,4,1,0,0.78,0.6818,0.29,0.0896,74,497,571,1
5254,3,0,8,19,0,4,1,0,0.74,0.6515,0.35,0.194,48,323,371,1
5255,3,0,8,20,0,4,1,0,0.72,0.6515,0.37,0.1343,56,232,288,1
5256,3,0,8,21,0,4,1,0,0.7,0.6515,0.48,0.0896,35,171,206,1
5257,3,0,8,22,0,4,1,0,0.7,0.6515,0.48,0,34,123,157,0
5258,3,0,8,23,0,4,1,0,0.66,0.6212,0.5,0.1642,22,105,127,0
5259,3,0,8,0,0,5,1,0,0.64,0.6212,0.53,0.1642,12,53,65,0
5260,3,0,8,1,0,5,1,0,0.64,0.6212,0.53,0.1343,4,19,23,0
5261,3,0,8,2,0,5,1,0,0.62,0.6212,0.57,0.194,0,15,15,0
5262,3,0,8,3,0,5,1,0,0.62,0.6212,0.53,0.1642,0,9,9,0
5263,3,0,8,4,0,5,1,0,0.62,0.6212,0.53,0.1343,0,5,5,0
5264,3,0,8,5,0,5,1,0,0.6,0.6212,0.56,0.1343,2,24,26,0
5265,3,0,8,6,0,5,1,0,0.62,0.6212,0.5,0.1343,3,73,76,0
5266,3,0,8,7,0,5,1,0,0.64,0.6212,0.44,0.1642,17,247,264,1
5267,3,0,8,8,0,5,1,0,0.68,0.6364,0.39,0.2239,29,397,426,1
5268,3,0,8,9,0,5,1,0,0.72,0.6515,0.34,0.1343,27,178,205,1
5269,3,0,8,10,0,5,1,0,0.74,0.6515,0.33,0.1045,44,86,130,0
5270,3,0,8,11,0,5,1,0,0.76,0.6667,0.29,0,48,108,156,0
5271,3,0,8,12,0,5,1,0,0.8,0.697,0.27,0,55,167,222,1
5272,3,0,8,13,0,5,1,0,0.78,0.6818,0.29,0.0896,74,179,253,1
5273,3,0,8,14,0,5,1,0,0.8,0.697,0.29,0.194,51,135,186,0
5274,3,0,8,15,0,5,1,0,0.8,0.697,0.29,0.1642,59,190,249,1
5275,3,0,8,16,0,5,1,0,0.82,0.7121,0.28,0,68,266,334,1
5276,3,0,8,17,0,5,1,0,0.82,0.7121,0.26,0,93,423,516,1
5277,3,0,8,18,0,5,1,0,0.76,0.6818,0.4,0.2985,89,376,465,1
5278,3,0,8,19,0,5,1,0,0.74,0.6667,0.42,0.2239,101,284,385,1
5279,3,0,8,20,0,5,1,0,0.72,0.6515,0.42,0.2239,77,210,287,1
5280,3,0,8,21,0,5,1,0,0.7,0.6515,0.48,0.1343,73,153,226,1
5281,3,0,8,22,0,5,1,0,0.68,0.6364,0.51,0,74,157,231,1
5282,3,0,8,23,0,5,1,0,0.68,0.6364,0.51,0,51,100,151,0
5283,3,0,8,0,0,6,0,0,0.68,0.6364,0.51,0.1045,15,69,84,0
5284,3,0,8,1,0,6,0,1,0.68,0.6364,0.57,0.0896,13,64,77,0
5285,3,0,8,2,0,6,0,0,0.68,0.6364,0.57,0,16,58,74,0
5286,3,0,8,3,0,6,0,0,0.66,0.6212,0.65,0.1343,9,18,27,0
5287,3,0,8,4,0,6,0,1,0.64,0.6061,0.73,0.1343,5,5,10,0
5288,3,0,8,5,0,6,0,0,0.64,0.6061,0.73,0.1045,3,15,18,0
5289,3,0,8,6,0,6,0,0,0.64,0.6061,0.73,0.0896,3,19,22,0
5290,3,0,8,7,0,6,0,1,0.66,0.6212,0.74,0.194,10,34,44,0
5291,3,0,8,8,0,6,0,1,0.7,0.6515,0.65,0.1642,28,90,118,0
5292,3,0,8,9,0,6,0,1,0.7,0.6667,0.74,0.1642,70,138,208,1
5293,3,0,8,10,0,6,0,1,0.72,0.697,0.74,0.2239,97,163,260,1
5294,3,0,8,11,0,6,0,1,0.74,0.697,0.7,0.194,122,192,314,1
5295,3,0,8,12,0,6,0,1,0.66,0.5909,0.89,0.1642,175,246,421,1
5296,3,0,8,13,0,6,0,1,0.74,0.7121,0.74,0.3284,61,92,153,0
5297,3,0,8,14,0,6,0,0,0.74,0.697,0.7,0.2537,113,146,259,1
5298,3,0,8,15,0,6,0,1,0.68,0.6364,0.79,0.3582,150,208,358,1
5299,3,0,8,16,0,6,0,1,0.7,0.6667,0.74,0.2836,148,133,281,1
5300,3,0,8,17,0,6,0,1,0.72,0.697,0.74,0.2537,97,172,269,1
5301,3,0,8,18,0,6,0,0,0.7,0.6667,0.74,0.2239,123,169,292,1
5302,3,0,8,19,0,6,0,1,0.68,0.6364,0.79,0.2836,67,170,237,1
5303,3,0,8,20,0,6,0,1,0.68,0.6364,0.83,0.2239,78,105,183,0
5304,3,0,8,21,0,6,0,1,0.68,0.6364,0.83,0.3881,40,127,167,0
5305,3,0,8,22,0,6,0,1,0.68,0.6364,0.83,0.3881,36,118,154,0
5306,3,0,8,23,0,6,0,1,0.66,0.6061,0.83,0.3284,25,95,120,0
5307,3,0,8,0,0,0,0,1,0.66,0.6061,0.83,0.2985,19,71,90,0
5308,3,0,8,1,0,0,0,1,0.64,0.5758,0.89,0.2239,16,57,73,0
5309,3,0,8,2,0,0,0,1,0.64,0.5758,0.89,0.2239,13,49,62,0
5310,3,0,8,3,0,0,0,1,0.64,0.5606,0.94,0.2537,5,22,27,0
5311,3,0,8,4,0,0,0,1,0.64,0.5606,0.94,0.194,1,2,3,0
5312,3,0,8,5,0,0,0,1,0.64,0.5606,0.94,0.1642,1,9,10,0
5313,3,0,8,6,0,0,0,1,0.64,0.5606,0.94,0.1045,2,4,6,0
5314,3,0,8,7,0,0,0,1,0.66,0.5909,0.89,0.194,4,20,24,0
5315,3,0,8,8,0,0,0,1,0.66,0.5909,0.89,0.2836,20,21,41,0
5316,3,0,8,9,0,0,0,1,0.66,0.5909,0.89,0.2836,27,76,103,0
5317,3,0,8,10,0,0,0,0,0.7,0.6667,0.79,0.2239,67,116,183,0
5318,3,0,8,11,0,0,0,0,0.7,0.6667,0.79,0.194,81,117,198,1
5319,3,0,8,12,0,0,0,1,0.7,0.6667,0.79,0.2239,98,183,281,1
5320,3,0,8,13,0,0,0,0,0.72,0.697,0.74,0.2537,144,233,377,1
5321,3,0,8,14,0,0,0,0,0.74,0.697,0.7,0.194,126,244,370,1
5322,3,0,8,15,0,0,0,0,0.74,0.697,0.66,0.194,128,203,331,1
5323,3,0,8,16,0,0,0,0,0.74,0.697,0.66,0.1642,116,176,292,1
5324,3,0,8,17,0,0,0,0,0.76,0.7121,0.62,0.1343,133,196,329,1
5325,3,0,8,18,0,0,0,0,0.74,0.697,0.66,0.1642,125,222,347,1
5326,3,0,8,19,0,0,0,0,0.72,0.697,0.74,0.2239,75,184,259,1
5327,3,0,8,20,0,0,0,0,0.7,0.6667,0.84,0.1642,67,126,193,1
5328,3,0,8,21,0,0,0,1,0.6,0.5455,0.88,0.4925,51,104,155,0
5329,3,0,8,22,0,0,0,1,0.6,0.5455,0.88,0.4925,14,25,39,0
5330,3,0,8,23,0,0,0,1,0.6,0.5606,0.83,0,5,22,27,0
5331,3,0,8,0,0,1,1,1,0.6,0.5455,0.88,0.0896,7,18,25,0
5332,3,0,8,1,0,1,1,1,0.6,0.5455,0.88,0.1343,1,9,10,0
5333,3,0,8,2,0,1,1,1,0.6,0.5606,0.83,0,0,3,3,0
5334,3,0,8,3,0,1,1,0,0.6,0.5606,0.83,0.194,1,6,7,0
5335,3,0,8,4,0,1,1,0,0.6,0.5606,0.83,0.1343,1,4,5,0
5336,3,0,8,5,0,1,1,1,0.6,0.5455,0.88,0.194,3,14,17,0
5337,3,0,8,6,0,1,1,0,0.6,0.5455,0.88,0.2537,3,87,90,0
5338,3,0,8,7,0,1,1,0,0.6,0.5455,0.88,0.2537,10,248,258,1
5339,3,0,8,8,0,1,1,0,0.64,0.5909,0.78,0.3284,29,326,355,1
5340,3,0,8,9,0,1,1,0,0.64,0.5909,0.78,0.3284,52,170,222,1
5341,3,0,8,10,0,1,1,0,0.68,0.6364,0.69,0.2836,54,87,141,0
5342,3,0,8,11,0,1,1,1,0.72,0.6818,0.62,0.2537,41,112,153,0
5343,3,0,8,12,0,1,1,0,0.74,0.6818,0.58,0.2836,62,116,178,0
5344,3,0,8,13,0,1,1,0,0.78,0.7121,0.52,0.2836,53,140,193,1
5345,3,0,8,14,0,1,1,0,0.74,0.6818,0.55,0.0896,56,95,151,0
5346,3,0,8,15,0,1,1,1,0.74,0.6818,0.55,0.2985,49,133,182,0
5347,3,0,8,16,0,1,1,0,0.74,0.6818,0.55,0.3284,58,225,283,1
5348,3,0,8,17,0,1,1,0,0.74,0.6667,0.51,0.2836,59,471,530,1
5349,3,0,8,18,0,1,1,0,0.7,0.6515,0.65,0.194,70,413,483,1
5350,3,0,8,19,0,1,1,0,0.7,0.6515,0.65,0,54,343,397,1
5351,3,0,8,20,0,1,1,0,0.66,0.6212,0.74,0.1343,45,240,285,1
5352,3,0,8,21,0,1,1,0,0.66,0.6212,0.65,0.194,34,150,184,0
5353,3,0,8,22,0,1,1,0,0.66,0.6212,0.69,0.2537,22,76,98,0
5354,3,0,8,23,0,1,1,0,0.64,0.6061,0.69,0.2239,11,77,88,0
5355,3,0,8,0,0,2,1,0,0.64,0.6061,0.69,0.1045,8,23,31,0
5356,3,0,8,1,0,2,1,0,0.64,0.6061,0.69,0.1642,4,12,16,0
5357,3,0,8,2,0,2,1,0,0.62,0.5909,0.73,0.2239,1,3,4,0
5358,3,0,8,3,0,2,1,0,0.62,0.5909,0.73,0.2239,1,5,6,0
5359,3,0,8,4,0,2,1,0,0.64,0.6061,0.69,0.2985,0,5,5,0
5360,3,0,8,5,0,2,1,0,0.62,0.5909,0.73,0.2836,1,29,30,0
5361,3,0,8,6,0,2,1,0,0.62,0.5909,0.73,0.3284,4,115,119,0
5362,3,0,8,7,0,2,1,0,0.64,0.6061,0.69,0.2537,18,328,346,1
5363,3,0,8,8,0,2,1,0,0.7,0.6515,0.58,0.4478,24,417,441,1
5364,3,0,8,9,0,2,1,0,0.68,0.6364,0.61,0.2836,27,171,198,1
5365,3,0,8,10,0,2,1,0,0.7,0.6515,0.58,0.3881,28,83,111,0
5366,3,0,8,11,0,2,1,0,0.74,0.6667,0.51,0.2239,40,110,150,0
5367,3,0,8,12,0,2,1,0,0.76,0.6818,0.48,0.3284,42,120,162,0
5368,3,0,8,13,0,2,1,0,0.76,0.6818,0.48,0.2985,45,147,192,1
5369,3,0,8,14,0,2,1,0,0.76,0.6818,0.45,0.4179,65,117,182,0
5370,3,0,8,15,0,2,1,0,0.8,0.7121,0.41,0.2985,36,123,159,0
5371,3,0,8,16,0,2,1,0,0.8,0.7121,0.41,0.2239,55,248,303,1
5372,3,0,8,17,0,2,1,0,0.76,0.6818,0.45,0.3284,75,525,600,1
5373,3,0,8,18,0,2,1,0,0.76,0.6818,0.45,0.2239,54,516,570,1
5374,3,0,8,19,0,2,1,0,0.74,0.6667,0.48,0.194,56,320,376,1
5375,3,0,8,20,0,2,1,0,0.74,0.6667,0.51,0,48,232,280,1
5376,3,0,8,21,0,2,1,0,0.72,0.6667,0.54,0,38,177,215,1
5377,3,0,8,22,0,2,1,0,0.7,0.6515,0.61,0,31,121,152,0
5378,3,0,8,23,0,2,1,0,0.66,0.6212,0.65,0.1343,20,57,77,0
5379,3,0,8,0,0,3,1,0,0.66,0.6212,0.69,0.0896,8,16,24,0
5380,3,0,8,1,0,3,1,0,0.64,0.6061,0.73,0.1642,2,12,14,0
5381,3,0,8,2,0,3,1,0,0.66,0.6212,0.69,0,0,6,6,0
5382,3,0,8,3,0,3,1,0,0.64,0.5909,0.78,0,1,4,5,0
5383,3,0,8,4,0,3,1,0,0.64,0.6061,0.73,0,0,5,5,0
5384,3,0,8,5,0,3,1,0,0.64,0.6061,0.73,0,0,28,28,0
5385,3,0,8,6,0,3,1,0,0.62,0.5909,0.78,0,4,101,105,0
5386,3,0,8,7,0,3,1,0,0.66,0.6212,0.65,0.0896,12,296,308,1
5387,3,0,8,8,0,3,1,0,0.7,0.6515,0.54,0.1642,35,452,487,1
5388,3,0,8,9,0,3,1,0,0.74,0.6667,0.48,0.0896,31,178,209,1
5389,3,0,8,10,0,3,1,0,0.76,0.6818,0.43,0.0896,27,91,118,0
5390,3,0,8,11,0,3,1,0,0.78,0.697,0.43,0.1045,20,108,128,0
5391,3,0,8,12,0,3,1,0,0.8,0.7273,0.43,0.2836,26,163,189,0
5392,3,0,8,13,0,3,1,0,0.8,0.7121,0.41,0.194,38,138,176,0
5393,3,0,8,14,0,3,1,0,0.82,0.7273,0.36,0.1642,54,138,192,1
5394,3,0,8,15,0,3,1,0,0.8,0.7273,0.43,0.1343,42,117,159,0
5395,3,0,8,16,0,3,1,0,0.82,0.7424,0.43,0.2239,62,238,300,1
5396,3,0,8,17,0,3,1,0,0.8,0.7424,0.49,0.2239,46,506,552,1
5397,3,0,8,18,0,3,1,0,0.76,0.697,0.55,0.2537,86,470,556,1
5398,3,0,8,19,0,3,1,0,0.76,0.697,0.55,0.2239,50,297,347,1
5399,3,0,8,20,0,3,1,0,0.74,0.6818,0.58,0.2537,37,243,280,1
5400,3,0,8,21,0,3,1,0,0.72,0.6818,0.62,0.2239,38,192,230,1
5401,3,0,8,22,0,3,1,0,0.7,0.6515,0.65,0.194,29,142,171,0
5402,3,0,8,23,0,3,1,0,0.7,0.6515,0.65,0.2836,20,85,105,0
5403,3,0,8,0,0,4,1,0,0.68,0.6364,0.65,0.1343,18,38,56,0
5404,3,0,8,1,0,4,1,1,0.66,0.6212,0.65,0.1642,13,11,24,0
5405,3,0,8,2,0,4,1,0,0.66,0.6212,0.65,0.2239,2,4,6,0
5406,3,0,8,3,0,4,1,0,0.66,0.6212,0.69,0.2836,0,6,6,0
5407,3,0,8,4,0,4,1,0,0.64,0.6061,0.73,0.2239,0,9,9,0
5408,3,0,8,5,0,4,1,0,0.64,0.5909,0.78,0.2836,0,27,27,0
5409,3,0,8,6,0,4,1,1,0.64,0.5909,0.78,0.2537,6,97,103,0
5410,3,0,8,7,0,4,1,0,0.64,0.5909,0.78,0.2985,19,289,308,1
5411,3,0,8,8,0,4,1,0,0.66,0.6212,0.74,0.2836,27,393,420,1
5412,3,0,8,9,0,4,1,0,0.72,0.6818,0.66,0.2537,42,186,228,1
5413,3,0,8,10,0,4,1,0,0.74,0.697,0.66,0.2537,37,92,129,0
5414,3,0,8,11,0,4,1,0,0.76,0.7121,0.58,0.2537,44,97,141,0
5415,3,0,8,12,0,4,1,0,0.8,0.7424,0.52,0.2836,34,139,173,0
5416,3,0,8,13,0,4,1,0,0.8,0.7424,0.52,0.3582,33,154,187,0
5417,3,0,8,14,0,4,1,0,0.82,0.7576,0.46,0.3284,67,115,182,0
5418,3,0,8,15,0,4,1,0,0.8,0.7273,0.46,0.3582,56,118,174,0
